wavelength_nm,Cab,Car,Anth,Cw,Cm,LAI,Cp,Cbc
448,0.040922504345295804,0.05910776626352428,0.0070191674904996155,2.3069297456226466e-08,0.0017484899915158232,0.9545183038866855,3.1335291964477223e-15,0.0017145569091453164
449,0.04193340775435048,0.06159867870050065,0.007393366114749228,2.4391378421431186e-08,0.001779077744521652,0.9545252616755235,3.133512966718466e-15,0.001743527462740699
450,0.04295134784211005,0.0641809395542041,0.007787471014218278,2.579465296658389e-08,0.0018110802538754418,0.9545266510959338,9.400333543479938e-15,0.0017739210329730045
451,0.043979320018915656,0.06686055365549648,0.008203695046607059,2.7287706069605606e-08,0.0018447210654823742,0.9545205328697033,6.266612600092907e-15,0.0018059520355893503
452,0.04502326541614061,0.06965881305909227,0.008647346007493563,2.8887127192148938e-08,0.001880716789933803,0.9545072397355341,6.2662010913733285e-15,0.0018403233122816908
453,0.046088743735320466,0.07259429199606732,0.009122911797676471,3.061004199082388e-08,0.0019198884160551667,0.9544842018240841,0.0,0.0018778445855415682
454,0.047182444094888344,0.07568940469127537,0.009636461242632345,3.248272320585302e-08,0.0019631668689266794,0.9544516114294077,9.397250010426972e-15,0.0019194305160185109
455,0.04830943413728348,0.07897456783038972,0.010194518454437675,3.4541459342591146e-08,0.0020113079754669272,0.9544086720979991,3.1319314948671413e-15,0.0019658124442334017
456,0.04947692163929216,0.08247603820313883,0.010805421629644296,3.6822433191907285e-08,0.002065132643558362,0.9543521826059127,3.1313187524857323e-15,0.0020177845371431176
457,0.05068949095660113,0.08622941553811989,0.011478448440207952,3.936542358334562e-08,0.0021253122071288023,0.9542816028449485,3.130572619841387e-15,0.002075987360669345
458,0.05195174072042862,0.0902517525980686,0.012221225651261866,4.2204172976496316e-08,0.002192561090236393,0.9541946993023052,9.389017765095978e-15,0.0021411155564396516
459,0.053266944148331156,0.09457958928271581,0.013043294035959873,4.5390474340204997e-08,0.002268026727975778,0.9540894069591357,3.128599352335181e-15,0.0022142886904768055
460,0.054640814545364555,0.0992561214491445,0.013957197476928319,4.898442781292734e-08,0.0023531148790730126,0.9539639513117819,3.1273359977022986e-15,0.0022968781011627622
461,0.056075821037119084,0.10432595528511254,0.014976203538565951,5.3058251542253746e-08,0.002448927953419799,0.9538155993215677,0.0,0.002389950649990621
462,0.05757444765715036,0.10982390037492801,0.01611339208740804,5.7682314825729765e-08,0.00255658409485686,0.9536418613853612,3.1241401445034127e-15,0.0024945941417027755
463,0.05914228199290113,0.11580180450669061,0.017385232125857013,6.295562491146056e-08,0.0026779541614751962,0.9534386500713791,0.0,0.00261263551622561
464,0.06078305018451067,0.12231351488045208,0.018810785659603278,6.900216800400371e-08,0.0028148282476128193,0.9532038206008395,3.1198587975249954e-15,0.00274581772843416
465,0.0624987729118973,0.1294155078021981,0.02041100447218106,7.597176390594728e-08,0.002969016977800279,0.952932648266971,6.2344633576507534e-15,0.0028959007518860004
466,0.06429051191328726,0.1371659616508858,0.02220936245649213,8.402175832743172e-08,0.0031423876888577573,0.9526208319486982,3.114227234665184e-15,0.0030646996911079397
467,0.0661591629449962,0.1456185868555245,0.02422962332312232,9.331403655061439e-08,0.0033369519004793,0.9522640082323657,6.221612917878025e-15,0.003254171594981105
468,0.06810585177253665,0.15484389001518753,0.026501813348936712,1.0406129915945899e-07,0.003555216545178877,0.9518575185639023,3.1069277361849442e-15,0.003466757513941069
