band_index,wavelength_nm,Cab_imp_mean,Cab_imp_std,Cab_signed_mean,Car_imp_mean,Car_imp_std,Car_signed_mean,Anth_imp_mean,Anth_imp_std,Anth_signed_mean,Cw_imp_mean,Cw_imp_std,Cw_signed_mean,Cm_imp_mean,Cm_imp_std,Cm_signed_mean,LAI_imp_mean,LAI_imp_std,LAI_signed_mean,Cp_imp_mean,Cp_imp_std,Cp_signed_mean,Cbc_imp_mean,Cbc_imp_std,Cbc_signed_mean
20,420.0,0.0005295552643171201,0.00016593357218532418,0.0002393481775015971,0.0005147993506398052,0.00016591923131036642,0.00021921311175295463,0.0008481279752838115,0.00048587696626766435,0.00011736541152155648,0.0004871454342113187,0.0001225677853676266,6.126443380101894e-05,0.00024915781007924426,5.3748533699874396e-05,5.12219630763866e-05,0.0006728181227420768,0.00015990925928762118,1.972059271793114e-05,0.00042470705617840093,0.00014914007983727964,0.00014965489390306175,0.0002982188792278369,6.649231879347507e-05,6.653788902137119e-05
21,421.0,0.0005147011300626522,0.0002609687084512895,0.0002286545253203561,0.0004959773020042727,0.00019621578491319262,0.0001796198591061208,0.0006944551520670453,0.0002526730469474244,0.00013492578970423588,0.0004419430430668096,0.00011498278480017135,5.119423076394014e-05,0.00022350962778242925,5.567762540300471e-05,3.1525811815906004e-06,0.0004157645065182199,2.221264450273901e-05,3.1458112668284834e-05,0.00040492248566200334,0.00013757154150604109,7.594906187099089e-05,0.00026919379403504234,6.306532904664694e-05,7.2127689539532485e-06
22,422.0,0.0004907546487326423,0.00021495027197074182,0.00020477149640404,0.00048161429973940056,0.00022169254942692437,0.00012071433229721151,0.0006740884176300218,0.00023042060147951765,0.00015305938480499512,0.0004920304054394364,8.055686079240375e-05,1.9521133253874723e-05,0.00021652059998208037,3.407450492496711e-05,-2.16414628084749e-06,0.00042286686948500574,3.478971469914177e-05,-0.00010251955245621502,0.0004374020209070295,0.00014190347623321335,5.943203238227094e-05,0.00025430574896745384,4.2086163630415725e-05,-2.5707098150936267e-06
23,423.0,0.0004894504866873225,0.000150354868678674,0.00018738115250016563,0.0004637602736086895,0.0001599678656347202,0.00012796355076716281,0.0006961333080350111,0.00031334342244449366,0.0001699242420727387,0.0005461743082075069,0.00026372760603282994,0.0001324400509474799,0.00023109242708111802,6.032770096955392e-05,3.835198519179054e-05,0.00043946288254422444,0.0001476048063556467,-0.00013106526603223756,0.0005291689497729143,0.00018632651409963556,2.906352892750874e-05,0.0002710933767957613,7.462731299571983e-05,4.359222233082013e-05
24,424.0,0.00042104329622816294,0.00016290906215231884,0.00014974766440900567,0.0004127332552646597,0.00014300412933414497,9.60218021646142e-05,0.0005902892153244466,0.00012023738000107905,6.111416829905163e-05,0.00036810537373336655,2.380977669552111e-05,0.00012511370368883945,0.000196288398001343,1.408572605239011e-05,3.554048161428606e-05,0.0003897269004179786,1.9523439277351794e-05,-8.096239253063686e-05,0.00036901680869050324,8.318520797262138e-05,0.00010247921212188278,0.00023524197846806297,2.083121009613417e-05,2.9223146157164592e-05
25,425.0,0.0004186685352275769,0.00015830816833539916,0.00013231389493739698,0.0003940182214137167,0.00019185211196333062,0.000152043405250879,0.0006382179174882671,0.000246435752643624,-8.811915904516354e-06,0.00039103188707182807,0.0001936676086264467,-9.49935156313586e-06,0.00019402491064586988,0.0001010650480425248,1.3997041908927107e-05,0.0003505525625466059,8.96311425306129e-05,-5.86271054695923e-05,0.00043593120062723756,7.559043372059561e-05,0.00011341106195080404,0.00022360076400218531,0.00012152583846046824,1.1739777013038596e-05
26,426.0,0.0003999470015211652,0.00015388213574642301,0.000200802613714283,0.00044325630490978557,0.00019346496838368676,0.000259643085882999,0.0005240644095465541,0.00015762853761404843,-2.7380897942445397e-05,0.0004286663218711813,0.00018851061821393387,7.186320423594832e-05,0.0002248966678356131,0.00010232979404951584,3.383109409090442e-05,0.0003495806304272264,8.491911313609736e-05,-0.00015327718574553728,0.00043493420040855807,0.00012021519590095954,3.8285877963062376e-05,0.0002586554570977266,0.0001253814517474046,4.002728443689799e-05
27,427.0,0.0003820357572597762,0.00010173791781785254,0.00020145860131985197,0.0004218356383110707,0.0001462115135402756,0.00025143578144100803,0.0004647977378529807,3.711676345160774e-06,-7.728499849690706e-05,0.00029932992765679955,1.7462657358566242e-05,8.640712015524817e-05,0.0001888638847352316,5.7896365378194886e-05,7.228449794638436e-05,0.0003001990941508363,4.749475102682445e-05,-7.699238994973712e-05,0.00043939080205745995,0.00016637512005066485,8.522791419333468e-05,0.00021688657579943538,6.094373978174793e-05,8.512084787071217e-05
28,428.0,0.00035537870523209375,0.00015231246239553225,0.00018658145321145034,0.000463562833222871,0.00022407243051819688,0.0002689323058196654,0.0004575603428141524,0.00012895882943045494,-4.868474085621225e-05,0.00032595622178632766,9.398062601335288e-05,2.0146234116206568e-05,0.00017814970973025387,6.422807928132708e-05,3.659596980772525e-05,0.00031929878362764913,7.484742425671596e-05,-9.984894768422237e-05,0.0003963275909579049,0.0002038299645235927,0.00010224977692511554,0.0002036095732667794,6.845211917753954e-05,3.8735411635570927e-05
29,429.0,0.0003389578244726484,0.0001371356015386932,0.00017290508670460744,0.0004035338351968676,0.00018430822499954485,0.0002681057255055445,0.0003909148363163695,0.00011705891278194343,-7.455690289740839e-05,0.00033085953327827156,7.620389695091393e-05,6.0639213794881165e-05,0.0001825362051022239,7.876932773623476e-05,4.548811481678664e-05,0.0003100587200606242,8.930449050067087e-05,-0.00015128014153257632,0.000356526390532963,0.00013639290224535738,4.279086351743899e-05,0.00020499601669143885,8.512842884894056e-05,5.0057580665452406e-05
